+-------+-----+------+-----+-----+-----+--------+-----------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+------------+------------+--------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                   URI                   |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+-----------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+------------+------------+--------------+------------+
| 575   | 0   | 516  | 0   | 59  | 0   | GET    | /api/livestream/                        | 10.456 | 37.092 | 670.148 | 1.165  | 1.608  | 3.248  | 21.464 | 3.901  | 102.000    | 127799.000 | 7150539.000  | 12435.720  |
| 1762  | 0   | 1754 | 0   | 8   | 0   | GET    | /api/user/                              | 0.004  | 22.912 | 257.816 | 0.146  | 0.232  | 0.324  | 0.864  | 1.011  | 76.000     | 171848.000 | 87108618.000 | 49437.354  |
| 569   | 0   | 556  | 0   | 13  | 0   | POST   | /api/livestream/                        | 0.004  | 10.648 | 218.268 | 0.384  | 0.792  | 1.072  | 3.152  | 0.819  | 0.000      | 2720.000   | 930047.000   | 1634.529   |
| 193   | 0   | 191  | 0   | 1   | 1   | POST   | /api/register                           | 0.040  | 1.200  | 46.508  | 0.241  | 0.464  | 0.576  | 0.968  | 0.176  | 67.000     | 504.000    | 89656.000    | 464.539    |
| 191   | 0   | 189  | 0   | 2   | 0   | POST   | /api/icon                               | 0.012  | 1.232  | 34.636  | 0.181  | 0.368  | 0.612  | 0.964  | 0.194  | 0.000      | 16.000     | 2916.000     | 15.267     |
| 200   | 0   | 198  | 0   | 2   | 0   | POST   | /api/login                              | 0.000  | 0.916  | 17.820  | 0.089  | 0.236  | 0.312  | 0.864  | 0.151  | 0.000      | 64.000     | 128.000      | 0.640      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/initialize                         | 11.172 | 11.172 | 11.172  | 11.172 | 11.172 | 11.172 | 11.172 | 0.000  | 27.000     | 27.000     | 27.000       | 27.000     |
| 61    | 0   | 61   | 0   | 0   | 0   | GET    | /api/livestream                         | 0.016  | 0.568  | 9.168   | 0.150  | 0.308  | 0.356  | 0.568  | 0.117  | 3.000      | 22373.000  | 106681.000   | 1748.869   |
| 69    | 0   | 68   | 0   | 1   | 0   | GET    | /api/tag                                | 0.000  | 0.652  | 8.504   | 0.123  | 0.376  | 0.460  | 0.652  | 0.152  | 6089.000   | 6095.000   | 414292.000   | 6004.232   |
