+-------+-----+------+-----+-----+-----+--------+-----------------------------------------+--------+--------+----------+--------+--------+--------+--------+--------+------------+------------+--------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                   URI                   |  MIN   |  MAX   |   SUM    |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+-----------------------------------------+--------+--------+----------+--------+--------+--------+--------+--------+------------+------------+--------------+------------+
| 93    | 0   | 36   | 0   | 57  | 0   | GET    | /api/livestream/[0-9]+/statistics       | 10.456 | 37.092 | 1236.504 | 13.296 | 36.128 | 36.624 | 37.092 | 14.932 | 102.000    | 103.000    | 7176.000     | 77.161     |
| 1750  | 0   | 1748 | 0   | 2   | 0   | GET    | /api/user/[0-9a-zA-Z]+/icon             | 0.004  | 1.300  | 161.048  | 0.092  | 0.224  | 0.320  | 0.612  | 0.131  | 49603.000  | 171848.000 | 87810663.000 | 50177.522  |
| 9     | 0   | 4    | 0   | 5   | 0   | GET    | /api/user/[0-9a-zA-Z]+/statistics       | 3.456  | 23.560 | 137.268  | 15.252 | 23.560 | 23.560 | 23.560 | 7.837  | 0.000      | 157.000    | 586.000      | 65.111     |
| 46    | 0   | 44   | 0   | 2   | 0   | GET    | /api/livestream/search                  | 0.068  | 7.612  | 117.828  | 2.561  | 4.568  | 6.568  | 7.612  | 1.913  | 12785.000  | 127799.000 | 3042677.000  | 66145.152  |
| 195   | 0   | 191  | 0   | 4   | 0   | GET    | /api/livestream/[0-9]+/livecomment      | 0.004  | 2.444  | 117.420  | 0.602  | 1.316  | 1.520  | 1.932  | 0.480  | 0.000      | 34910.000  | 2190016.000  | 11230.851  |
| 226   | 0   | 225  | 0   | 1   | 0   | GET    | /api/livestream/[0-9]+/reaction         | 0.004  | 2.012  | 103.344  | 0.457  | 1.112  | 1.392  | 1.748  | 0.458  | 0.000      | 33511.000  | 1844931.000  | 8163.412   |
| 20    | 0   | 18   | 0   | 2   | 0   | POST   | /api/livestream/[0-9]+/moderate         | 0.240  | 10.648 | 72.728   | 3.636  | 6.044  | 8.840  | 10.648 | 2.484  | 0.000      | 23.000     | 414.000      | 20.700     |
| 253   | 0   | 245  | 0   | 8   | 0   | POST   | /api/livestream/[0-9]+/livecomment      | 0.008  | 1.496  | 65.768   | 0.260  | 0.472  | 0.652  | 1.172  | 0.207  | 0.000      | 2720.000   | 496127.000   | 1960.976   |
| 193   | 0   | 191  | 0   | 1   | 1   | POST   | /api/register                           | 0.040  | 1.200  | 46.508   | 0.241  | 0.464  | 0.576  | 0.968  | 0.176  | 67.000     | 504.000    | 89656.000    | 464.539    |
| 86    | 0   | 83   | 0   | 3   | 0   | POST   | /api/livestream/reservation             | 0.240  | 1.892  | 44.356   | 0.516  | 1.000  | 1.116  | 1.892  | 0.425  | 62.000     | 1479.000   | 93247.000    | 1084.267   |
| 191   | 0   | 189  | 0   | 2   | 0   | POST   | /api/icon                               | 0.012  | 1.232  | 34.636   | 0.181  | 0.368  | 0.612  | 0.964  | 0.194  | 0.000      | 16.000     | 2916.000     | 15.267     |
| 186   | 0   | 186  | 0   | 0   | 0   | POST   | /api/livestream/[0-9]+/reaction         | 0.008  | 0.932  | 31.944   | 0.172  | 0.320  | 0.392  | 0.868  | 0.137  | 1552.000   | 2219.000   | 340259.000   | 1829.349   |
