+-------+-----+------+-----+-----+-----+--------+------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+---------------+-----------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                URI                 |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) | MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-----+-----+-----+--------+------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+---------------+-----------+
| 2224  | 0   | 2219 | 0   | 5   | 0   | GET    | /api/user/[0-9a-zA-Z]+/icon        | 0.008  | 0.816  | 175.080 | 0.079  | 0.188  | 0.272  | 0.452  | 0.095  | 0.000     | 164985.000 | 112348105.000 | 50516.234 |
| 250   | 0   | 250  | 0   | 0   | 0   | GET    | /api/livestream/[0-9]+/livecomment | 0.012  | 1.948  | 114.808 | 0.459  | 0.996  | 1.140  | 1.644  | 0.369  | 3.000     | 40339.000  | 3162534.000   | 12650.136 |
| 280   | 0   | 280  | 0   | 0   | 0   | GET    | /api/livestream/[0-9]+/reaction    | 0.004  | 1.992  | 96.900  | 0.346  | 0.812  | 1.028  | 1.408  | 0.349  | 3.000     | 37290.000  | 2621581.000   | 9362.789  |
| 7     | 0   | 2    | 0   | 5   | 0   | GET    | /api/user/[0-9a-zA-Z]+/statistics  | 2.860  | 20.004 | 95.016  | 13.574 | 20.004 | 20.004 | 20.004 | 7.673  | 0.000     | 140.000    | 273.000       | 39.000    |
| 23    | 0   | 20   | 0   | 3   | 0   | POST   | /api/livestream/[0-9]+/moderate    | 0.292  | 9.228  | 91.132  | 3.962  | 6.660  | 7.096  | 9.228  | 1.839  | 0.000     | 23.000     | 460.000       | 20.000    |
| 54    | 0   | 54   | 0   | 0   | 0   | GET    | /api/livestream/search             | 0.068  | 4.144  | 70.528  | 1.306  | 2.352  | 2.524  | 4.144  | 0.811  | 49508.000 | 134062.000 | 3794823.000   | 70274.500 |
| 308   | 0   | 300  | 0   | 8   | 0   | POST   | /api/livestream/[0-9]+/livecomment | 0.004  | 1.348  | 63.612  | 0.207  | 0.356  | 0.428  | 0.700  | 0.143  | 0.000     | 2674.000   | 608598.000    | 1975.968  |
| 215   | 0   | 213  | 0   | 1   | 1   | POST   | /api/register                      | 0.004  | 1.472  | 51.368  | 0.239  | 0.416  | 0.520  | 0.960  | 0.172  | 67.000    | 504.000    | 100009.000    | 465.158   |
| 93    | 0   | 89   | 0   | 4   | 0   | POST   | /api/livestream/reservation        | 0.004  | 1.436  | 44.680  | 0.480  | 0.924  | 0.980  | 1.436  | 0.361  | 0.000     | 1460.000   | 100176.000    | 1077.161  |
| 235   | 0   | 234  | 0   | 1   | 0   | POST   | /api/livestream/[0-9]+/reaction    | 0.004  | 1.216  | 31.668  | 0.135  | 0.276  | 0.396  | 0.556  | 0.137  | 0.000     | 2206.000   | 430086.000    | 1830.153  |
| 212   | 0   | 211  | 0   | 1   | 0   | POST   | /api/icon                          | 0.012  | 0.980  | 28.964  | 0.137  | 0.304  | 0.456  | 0.656  | 0.144  | 0.000     | 16.000     | 3268.000      | 15.415    |
| 221   | 0   | 219  | 0   | 2   | 0   | POST   | /api/login                         | 0.004  | 1.140  | 15.420  | 0.070  | 0.168  | 0.224  | 0.492  | 0.112  | 0.000     | 64.000     | 128.000       | 0.579     |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/initialize                    | 10.664 | 10.664 | 10.664  | 10.664 | 10.664 | 10.664 | 10.664 | 0.000  | 27.000    | 27.000     | 27.000        | 27.000    |
| 72    | 0   | 72   | 0   | 0   | 0   | GET    | /api/livestream                    | 0.016  | 0.564  | 9.912   | 0.138  | 0.252  | 0.320  | 0.564  | 0.107  | 3.000     | 22524.000  | 124791.000    | 1733.208  |
| 72    | 0   | 72   | 0   | 0   | 0   | GET    | /api/tag                           | 0.004  | 0.736  | 7.420   | 0.103  | 0.260  | 0.412  | 0.736  | 0.133  | 6089.000  | 6095.000   | 438660.000    | 6092.500  |
| 49    | 0   | 48   | 0   | 0   | 1   | GET    | /api/livestream/[0-9]+/report      | 0.004  | 1.252  | 6.556   | 0.134  | 0.292  | 0.376  | 1.252  | 0.193  | 3.000     | 27167.000  | 71670.000     | 1462.653  |
| 34    | 0   | 34   | 0   | 0   | 0   | GET    | /api/livestream/[0-9]+/ngwords     | 0.004  | 0.396  | 5.468   | 0.161  | 0.284  | 0.348  | 0.396  | 0.096  | 5.000     | 134.000    | 806.000       | 23.706    |
| 29    | 0   | 29   | 0   | 0   | 0   | POST   | /api/livestream/[0-9]+/enter       | 0.004  | 0.256  | 1.660   | 0.057  | 0.180  | 0.184  | 0.256  | 0.063  | 0.000     | 0.000      | 0.000         | 0.000     |
| 19    | 0   | 19   | 0   | 0   | 0   | DELETE | /api/livestream/[0-9]+/exit        | 0.004  | 0.104  | 0.664   | 0.035  | 0.080  | 0.104  | 0.104  | 0.028  | 0.000     | 0.000      | 0.000         | 0.000     |
| 10    | 0   | 10   | 0   | 0   | 0   | GET    | /api/user/[0-9a-zA-Z]+             | 0.012  | 0.092  | 0.196   | 0.020  | 0.056  | 0.092  | 0.092  | 0.029  | 38.000    | 247.000    | 1192.000      | 119.200   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /api/livestream/[0-9]+/statistics  | 0.008  | 0.008  | 0.016   | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 100.000   | 102.000    | 202.000       | 101.000   |
