+-------+-----+------+------+-----+-----+--------+------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+--------------+-----------+
| COUNT | 1XX | 2XX  | 3XX  | 4XX | 5XX | METHOD |                URI                 |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY) |
+-------+-----+------+------+-----+-----+--------+------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+--------------+-----------+
| 6164  | 0   | 1095 | 5065 | 4   | 0   | GET    | /api/user/[0-9a-zA-Z]+/icon        | 0.004 | 0.436 | 218.070 | 0.035 | 0.084 | 0.116 | 0.204 | 0.041  | 0.000     | 83160.000  | 8445202.000  | 1370.085  |
| 643   | 0   | 641  | 0    | 2   | 0   | GET    | /api/livestream/[0-9]+/reaction    | 0.004 | 0.924 | 139.862 | 0.218 | 0.460 | 0.584 | 0.752 | 0.179  | 0.000     | 67173.000  | 9620275.000  | 14961.547 |
| 820   | 0   | 811  | 0    | 9   | 0   | POST   | /api/livestream/[0-9]+/livecomment | 0.008 | 0.456 | 113.933 | 0.139 | 0.204 | 0.240 | 0.316 | 0.057  | 0.000     | 2710.000   | 1590861.000  | 1940.074  |
| 155   | 0   | 151  | 0    | 4   | 0   | GET    | /api/livestream/search             | 0.040 | 1.632 | 113.239 | 0.731 | 0.928 | 1.264 | 1.600 | 0.269  | 0.000     | 135500.000 | 10019845.000 | 64644.161 |
| 610   | 0   | 610  | 0    | 0   | 0   | GET    | /api/livestream/[0-9]+/livecomment | 0.004 | 0.424 | 71.001  | 0.116 | 0.200 | 0.248 | 0.312 | 0.066  | 3.000     | 71563.000  | 12054891.000 | 19762.116 |
| 349   | 0   | 345  | 0    | 3   | 1   | POST   | /api/register                      | 0.004 | 0.540 | 70.525  | 0.202 | 0.276 | 0.312 | 0.376 | 0.066  | 0.000     | 504.000    | 161845.000   | 463.739   |
| 115   | 0   | 111  | 0    | 4   | 0   | POST   | /api/livestream/reservation        | 0.004 | 1.028 | 52.493  | 0.456 | 0.840 | 0.904 | 0.968 | 0.309  | 0.000     | 1463.000   | 125987.000   | 1095.539  |
| 322   | 0   | 322  | 0    | 0   | 0   | GET    | /api/livestream                    | 0.012 | 0.360 | 35.572  | 0.110 | 0.180 | 0.216 | 0.268 | 0.052  | 3.000     | 22546.000  | 251178.000   | 780.056   |
| 567   | 0   | 566  | 0    | 1   | 0   | POST   | /api/livestream/[0-9]+/reaction    | 0.004 | 0.320 | 34.684  | 0.061 | 0.112 | 0.144 | 0.212 | 0.041  | 0.000     | 2209.000   | 1045898.000  | 1844.617  |
| 346   | 0   | 336  | 0    | 0   | 10  | POST   | /api/icon                          | 0.016 | 0.248 | 24.993  | 0.072 | 0.140 | 0.172 | 0.216 | 0.044  | 14.000    | 154.000    | 6813.000     | 19.691    |
| 120   | 0   | 120  | 0    | 0   | 0   | GET    | /api/livestream/[0-9]+/ngwords     | 0.004 | 0.256 | 12.892  | 0.107 | 0.168 | 0.184 | 0.248 | 0.046  | 5.000     | 807.000    | 13245.000    | 110.375   |
